room,startDate,endDate,guest,totalPrice,status,customer_email,specialRequests
Executive King,2025-08-24,2025-08-26,1,883.9,confirmed,user_4059@example.com,None
Presidential Suite,2025-01-03,2025-01-06,3,1255.92,confirmed,user_8762@example.com,None
Deluxe Suite,2025-09-27,2025-10-04,1,625.15,confirmed,user_6153@example.com,None
Executive King,2025-03-21,2025-03-30,2,887.5,confirmed,user_240@example.com,None
Deluxe Suite,2025-04-24,2025-04-28,1,550.93,confirmed,user_4447@example.com,None
Executive King,2025-08-30,2025-09-03,1,885.1,confirmed,user_5515@example.com,Early check-in
Presidential Suite,2025-10-17,2025-10-22,2,1349.16,canceled,user_2355@example.com,Early check-in
Executive King,2025-06-10,2025-06-19,1,1146.69,canceled,user_7502@example.com,None
Presidential Suite,2025-09-30,2025-10-11,4,1231.96,confirmed,user_5983@example.com,None
Executive King,2025-06-30,2025-07-08,1,610.02,confirmed,user_4729@example.com,Early check-in
Executive King,2025-03-18,2025-03-30,1,975.09,confirmed,user_5973@example.com,None
Presidential Suite,2025-08-09,2025-08-15,4,1677.99,confirmed,user_6842@example.com,Early check-in
Executive King,2025-04-19,2025-04-22,2,1001.67,confirmed,user_181@example.com,None
Executive King,2025-01-30,2025-02-07,1,802.15,confirmed,user_2364@example.com,None
Deluxe Suite,2025-08-19,2025-08-27,2,524.23,confirmed,user_4215@example.com,None
Executive King,2025-02-17,2025-03-01,1,804.44,canceled,user_9727@example.com,Early check-in
Deluxe Suite,2025-12-06,2025-12-17,2,572.11,confirmed,user_6717@example.com,None
Deluxe Suite,2025-11-28,2025-12-02,1,808.08,confirmed,user_7872@example.com,None
Deluxe Suite,2025-10-31,2025-11-13,2,490.41,confirmed,user_6628@example.com,Late checkout
Presidential Suite,2025-04-02,2025-04-05,1,1411.22,confirmed,user_3111@example.com,Early check-in
Deluxe Suite,2025-10-12,2025-10-22,1,622.31,confirmed,user_7824@example.com,None
Deluxe Suite,2025-11-04,2025-11-16,1,517.54,confirmed,user_9615@example.com,None
Executive King,2025-11-03,2025-11-13,2,792.11,confirmed,user_6353@example.com,Late checkout
Deluxe Suite,2025-11-13,2025-11-17,1,656.55,confirmed,user_2594@example.com,None
Deluxe Suite,2025-05-09,2025-05-15,1,329.34,confirmed,user_2930@example.com,None
Presidential Suite,2025-05-28,2025-06-01,3,1091.26,confirmed,user_1006@example.com,Late checkout
Executive King,2025-07-08,2025-07-17,2,906.04,confirmed,user_2661@example.com,Late checkout
Executive King,2025-09-02,2025-09-14,2,813.72,confirmed,user_275@example.com,Late checkout
Executive King,2025-04-01,2025-04-08,2,887.41,confirmed,user_794@example.com,None
Presidential Suite,2025-01-17,2025-01-24,2,1376.81,confirmed,user_8861@example.com,None
Executive King,2025-12-24,2025-12-26,1,1066.0,canceled,user_1842@example.com,Early check-in
Presidential Suite,2025-12-19,2025-12-29,3,977.1,canceled,user_4015@example.com,Early check-in
Presidential Suite,2025-05-27,2025-06-09,3,954.94,confirmed,user_6783@example.com,None
Presidential Suite,2025-10-03,2025-10-09,2,1055.19,confirmed,user_945@example.com,None
Presidential Suite,2025-05-29,2025-06-06,4,1107.4,confirmed,user_2886@example.com,None
Presidential Suite,2025-03-19,2025-03-25,1,1215.68,confirmed,user_3953@example.com,None
Executive King,2025-03-27,2025-04-09,1,778.3,confirmed,user_8356@example.com,None
Executive King,2025-06-23,2025-07-06,1,694.35,confirmed,user_1074@example.com,None
Executive King,2025-11-14,2025-11-18,2,830.73,confirmed,user_363@example.com,None
Deluxe Suite,2025-05-16,2025-05-18,2,630.41,canceled,user_1982@example.com,None
Deluxe Suite,2025-09-13,2025-09-21,1,438.15,canceled,user_526@example.com,None
Presidential Suite,2025-08-02,2025-08-09,1,1210.35,confirmed,user_5101@example.com,None
Executive King,2025-04-04,2025-04-06,1,677.36,confirmed,user_7716@example.com,None
Deluxe Suite,2025-09-12,2025-09-19,2,557.9,confirmed,user_6785@example.com,Early check-in
Deluxe Suite,2025-09-21,2025-09-30,1,496.99,confirmed,user_202@example.com,Early check-in
Deluxe Suite,2025-03-09,2025-03-13,1,725.0,confirmed,user_7170@example.com,None
Deluxe Suite,2025-12-13,2025-12-17,2,564.5,confirmed,user_8295@example.com,Early check-in
Presidential Suite,2025-05-10,2025-05-20,1,1266.14,confirmed,user_8718@example.com,Late checkout
Deluxe Suite,2025-12-27,2026-01-05,2,216.17,confirmed,user_6731@example.com,None
Executive King,2025-10-10,2025-10-16,2,848.62,confirmed,user_1@example.com,None
Executive King,2025-01-16,2025-01-18,2,799.6,confirmed,user_8862@example.com,None
Presidential Suite,2025-07-28,2025-08-07,4,1141.32,confirmed,user_635@example.com,None
Executive King,2025-10-05,2025-10-16,1,460.71,confirmed,user_6602@example.com,Early check-in
Executive King,2025-01-07,2025-01-12,2,646.96,canceled,user_5120@example.com,Early check-in
Deluxe Suite,2025-05-15,2025-05-27,2,867.39,canceled,user_3676@example.com,None
Presidential Suite,2025-03-10,2025-03-21,3,1411.42,confirmed,user_8325@example.com,None
Deluxe Suite,2025-04-24,2025-05-05,2,602.88,confirmed,user_9715@example.com,None
Deluxe Suite,2025-04-18,2025-04-26,2,492.61,confirmed,user_2921@example.com,None
Executive King,2025-04-09,2025-04-14,1,883.11,confirmed,user_9777@example.com,None
Executive King,2025-02-21,2025-03-05,1,672.2,confirmed,user_804@example.com,None
Presidential Suite,2025-12-23,2026-01-05,1,1244.43,confirmed,user_7428@example.com,None
Deluxe Suite,2025-10-25,2025-10-30,1,464.58,confirmed,user_1497@example.com,None
Executive King,2025-05-26,2025-06-02,2,925.33,confirmed,user_7445@example.com,None
Executive King,2025-03-27,2025-04-08,2,639.01,confirmed,user_9680@example.com,None
Executive King,2025-09-22,2025-09-23,1,843.12,confirmed,user_6228@example.com,None
Presidential Suite,2025-06-26,2025-07-02,1,1045.03,confirmed,user_6091@example.com,Early check-in
Presidential Suite,2025-12-20,2025-12-31,2,1263.39,confirmed,user_1623@example.com,None
Deluxe Suite,2025-03-30,2025-04-02,1,357.28,confirmed,user_6106@example.com,None
Executive King,2025-07-08,2025-07-13,1,773.08,confirmed,user_8027@example.com,Late checkout
Executive King,2025-05-20,2025-05-22,2,769.56,canceled,user_8577@example.com,None
Deluxe Suite,2025-03-12,2025-03-15,2,591.79,confirmed,user_3501@example.com,Late checkout
Executive King,2025-02-01,2025-02-04,2,808.9,confirmed,user_2039@example.com,Early check-in
Deluxe Suite,2025-03-23,2025-03-31,1,711.17,confirmed,user_1743@example.com,None
Executive King,2025-01-24,2025-01-25,1,821.51,canceled,user_7847@example.com,Early check-in
Executive King,2025-06-02,2025-06-07,1,619.04,confirmed,user_3181@example.com,None
Presidential Suite,2025-03-14,2025-03-27,1,1546.15,confirmed,user_8148@example.com,None
Presidential Suite,2025-11-08,2025-11-14,2,1088.45,confirmed,user_6764@example.com,None
Presidential Suite,2025-09-16,2025-09-28,4,940.35,confirmed,user_2261@example.com,None
Deluxe Suite,2025-09-15,2025-09-18,1,739.67,confirmed,user_2741@example.com,Early check-in
Deluxe Suite,2025-11-04,2025-11-10,2,654.07,confirmed,user_1154@example.com,Late checkout
Deluxe Suite,2025-11-10,2025-11-20,2,792.13,confirmed,user_2232@example.com,None
Executive King,2025-05-23,2025-05-31,2,843.19,confirmed,user_9463@example.com,None
Deluxe Suite,2025-01-30,2025-02-03,1,559.92,confirmed,user_9201@example.com,Early check-in
Deluxe Suite,2025-12-11,2025-12-12,1,907.73,confirmed,user_5203@example.com,Early check-in
Presidential Suite,2025-12-03,2025-12-13,4,1395.99,confirmed,user_7258@example.com,Early check-in
Executive King,2025-06-18,2025-06-22,1,935.26,confirmed,user_7663@example.com,None
Presidential Suite,2025-10-02,2025-10-03,3,1189.4,canceled,user_7208@example.com,None
Deluxe Suite,2025-06-09,2025-06-15,2,737.35,confirmed,user_7548@example.com,None
Presidential Suite,2025-03-12,2025-03-17,1,1300.43,confirmed,user_133@example.com,None
Deluxe Suite,2025-09-24,2025-09-29,2,670.26,confirmed,user_975@example.com,None
Deluxe Suite,2025-11-20,2025-11-28,2,472.52,confirmed,user_2734@example.com,None
Presidential Suite,2025-04-10,2025-04-19,3,1204.04,canceled,user_2466@example.com,None
Executive King,2025-07-21,2025-07-31,2,824.33,confirmed,user_1785@example.com,None
Deluxe Suite,2025-05-23,2025-05-28,2,724.46,confirmed,user_5743@example.com,Late checkout
Deluxe Suite,2025-09-30,2025-10-13,2,408.25,confirmed,user_9612@example.com,None
Deluxe Suite,2025-03-09,2025-03-10,1,669.64,confirmed,user_9142@example.com,None
Deluxe Suite,2025-08-30,2025-09-01,1,685.2,confirmed,user_1355@example.com,Early check-in
Deluxe Suite,2025-01-11,2025-01-23,1,580.32,confirmed,user_4952@example.com,None
Deluxe Suite,2025-04-12,2025-04-15,1,535.35,confirmed,user_9257@example.com,None
Executive King,2025-08-22,2025-09-04,2,934.31,canceled,user_2027@example.com,None
Executive King,2025-11-22,2025-12-05,1,641.84,confirmed,user_968@example.com,None
Presidential Suite,2025-05-18,2025-05-20,4,1115.97,confirmed,user_461@example.com,None
Executive King,2025-12-19,2025-12-31,2,922.53,confirmed,user_88@example.com,None
Executive King,2025-12-18,2025-12-19,1,356.93,confirmed,user_4416@example.com,None
Deluxe Suite,2025-07-31,2025-08-05,2,521.53,canceled,user_3274@example.com,None
Deluxe Suite,2025-08-29,2025-09-11,2,626.75,confirmed,user_7771@example.com,None
Presidential Suite,2025-11-22,2025-11-24,3,1053.57,confirmed,user_2122@example.com,None
Executive King,2025-08-27,2025-08-29,2,826.81,canceled,user_5339@example.com,None
Deluxe Suite,2025-07-31,2025-08-13,2,573.93,confirmed,user_5087@example.com,None
Presidential Suite,2025-08-20,2025-08-25,1,1159.8,confirmed,user_5254@example.com,Late checkout
Presidential Suite,2025-04-14,2025-04-17,4,1068.88,confirmed,user_2516@example.com,Early check-in
Executive King,2025-09-28,2025-10-05,2,527.69,canceled,user_4291@example.com,None
Deluxe Suite,2025-08-06,2025-08-17,1,646.92,confirmed,user_6705@example.com,Early check-in
Presidential Suite,2025-04-02,2025-04-09,1,1038.24,canceled,user_9600@example.com,None
Deluxe Suite,2025-12-27,2026-01-06,1,670.77,confirmed,user_6550@example.com,None
Executive King,2025-05-14,2025-05-18,2,658.05,confirmed,user_6634@example.com,None
Executive King,2025-08-24,2025-09-05,1,891.02,canceled,user_2509@example.com,None
Presidential Suite,2025-11-11,2025-11-12,1,1061.32,confirmed,user_6625@example.com,Early check-in
Presidential Suite,2025-09-23,2025-09-27,4,1240.85,confirmed,user_7186@example.com,None
Executive King,2025-08-01,2025-08-12,1,1107.62,confirmed,user_9971@example.com,Late checkout
Presidential Suite,2025-11-02,2025-11-08,4,1036.99,confirmed,user_2864@example.com,None
Executive King,2025-07-01,2025-07-06,1,759.38,confirmed,user_1952@example.com,None
Executive King,2025-03-11,2025-03-18,2,843.94,confirmed,user_7381@example.com,None
Presidential Suite,2025-04-19,2025-04-22,1,1362.53,confirmed,user_4734@example.com,None
Executive King,2025-02-27,2025-03-07,1,691.75,confirmed,user_201@example.com,None
Executive King,2025-09-25,2025-10-01,2,542.23,canceled,user_4588@example.com,None
Executive King,2025-06-18,2025-06-27,2,659.92,confirmed,user_4364@example.com,None
Executive King,2025-04-23,2025-04-26,1,711.7,confirmed,user_3361@example.com,None
Presidential Suite,2025-02-09,2025-02-21,3,1122.93,confirmed,user_2701@example.com,None
Executive King,2025-02-26,2025-03-05,2,903.02,confirmed,user_3537@example.com,None
Executive King,2025-09-15,2025-09-21,2,937.91,canceled,user_7115@example.com,None
Deluxe Suite,2025-07-03,2025-07-04,2,573.28,confirmed,user_476@example.com,None
Executive King,2025-08-26,2025-09-04,2,568.94,confirmed,user_5937@example.com,Late checkout
Executive King,2025-08-25,2025-09-05,1,901.75,confirmed,user_7228@example.com,None
Executive King,2025-09-10,2025-09-22,1,851.04,confirmed,user_472@example.com,None
Executive King,2025-11-14,2025-11-17,1,790.39,confirmed,user_7332@example.com,Early check-in
Executive King,2025-12-17,2025-12-23,2,541.7,canceled,user_2297@example.com,None
Executive King,2025-05-31,2025-06-12,2,1003.89,confirmed,user_8407@example.com,None
Executive King,2025-06-06,2025-06-08,1,647.0,canceled,user_7347@example.com,Early check-in
Presidential Suite,2025-09-09,2025-09-21,2,1044.3,confirmed,user_788@example.com,None
Deluxe Suite,2025-03-12,2025-03-18,1,351.74,confirmed,user_3251@example.com,Late checkout
Executive King,2025-06-17,2025-06-29,2,708.39,confirmed,user_4426@example.com,None
Presidential Suite,2025-07-28,2025-07-31,1,1322.59,confirmed,user_5474@example.com,None
Presidential Suite,2025-02-19,2025-02-26,1,1358.72,confirmed,user_8841@example.com,Early check-in
Deluxe Suite,2025-01-19,2025-01-21,2,553.11,confirmed,user_9391@example.com,None
Presidential Suite,2025-08-10,2025-08-18,4,1005.76,canceled,user_2570@example.com,None
Presidential Suite,2025-08-26,2025-09-02,3,1418.83,confirmed,user_7056@example.com,Late checkout
Deluxe Suite,2025-12-31,2026-01-02,2,572.21,confirmed,user_8136@example.com,Early check-in
Presidential Suite,2025-04-27,2025-05-09,4,1108.76,confirmed,user_409@example.com,None
Presidential Suite,2025-04-23,2025-05-05,4,1078.02,confirmed,user_8936@example.com,None
Presidential Suite,2025-06-04,2025-06-09,4,1190.94,confirmed,user_2662@example.com,None
Presidential Suite,2025-02-02,2025-02-11,3,1235.06,confirmed,user_4796@example.com,None
Presidential Suite,2025-06-02,2025-06-08,3,1106.45,confirmed,user_9610@example.com,None
Deluxe Suite,2025-04-21,2025-05-02,1,813.36,confirmed,user_2145@example.com,Early check-in
Presidential Suite,2025-12-15,2025-12-24,3,1062.18,confirmed,user_3423@example.com,Early check-in
Deluxe Suite,2025-05-01,2025-05-14,1,625.36,canceled,user_296@example.com,None
Executive King,2025-06-23,2025-07-04,2,791.03,confirmed,user_9308@example.com,Early check-in
Executive King,2025-09-07,2025-09-12,1,890.0,canceled,user_4026@example.com,None
Presidential Suite,2025-12-15,2025-12-25,3,1153.61,canceled,user_7734@example.com,Early check-in
Presidential Suite,2025-09-24,2025-10-04,1,1551.43,confirmed,user_9089@example.com,None
Executive King,2025-08-09,2025-08-16,2,821.71,confirmed,user_3543@example.com,None
Executive King,2025-01-19,2025-01-31,2,868.79,confirmed,user_885@example.com,None
Executive King,2025-05-29,2025-06-11,1,936.23,confirmed,user_8983@example.com,None
Presidential Suite,2025-04-03,2025-04-11,4,1078.39,confirmed,user_5827@example.com,Early check-in
Presidential Suite,2025-09-11,2025-09-19,2,1261.89,confirmed,user_6228@example.com,Early check-in
Deluxe Suite,2025-07-12,2025-07-23,2,650.52,confirmed,user_3748@example.com,Late checkout
Deluxe Suite,2025-04-05,2025-04-06,1,762.62,confirmed,user_3717@example.com,None
Presidential Suite,2025-12-19,2025-12-27,3,1072.5,confirmed,user_7887@example.com,Late checkout
Deluxe Suite,2025-10-16,2025-10-25,2,558.18,confirmed,user_4452@example.com,None
Presidential Suite,2025-11-03,2025-11-16,1,1341.35,confirmed,user_5265@example.com,None
Executive King,2025-09-14,2025-09-22,2,812.89,confirmed,user_8345@example.com,None
Presidential Suite,2025-07-30,2025-08-01,3,1187.79,canceled,user_2309@example.com,None
Presidential Suite,2025-12-16,2025-12-25,2,1328.52,confirmed,user_8360@example.com,None
Presidential Suite,2025-06-13,2025-06-20,2,1198.24,confirmed,user_3345@example.com,None
Deluxe Suite,2025-04-20,2025-04-23,1,626.74,confirmed,user_8148@example.com,None
Deluxe Suite,2025-08-20,2025-09-01,2,555.53,confirmed,user_2439@example.com,None
Deluxe Suite,2025-07-20,2025-08-02,1,711.11,confirmed,user_6440@example.com,Early check-in
Executive King,2025-06-07,2025-06-10,2,776.65,confirmed,user_2807@example.com,None
Deluxe Suite,2025-11-01,2025-11-02,2,737.5,confirmed,user_3993@example.com,Early check-in
Executive King,2025-02-14,2025-02-19,2,902.03,confirmed,user_6547@example.com,Late checkout
Deluxe Suite,2025-05-16,2025-05-19,2,758.62,confirmed,user_2936@example.com,Late checkout
Executive King,2025-09-09,2025-09-15,2,681.6,canceled,user_5293@example.com,None
Deluxe Suite,2025-11-06,2025-11-18,2,384.24,confirmed,user_6656@example.com,Late checkout
Presidential Suite,2025-05-09,2025-05-14,4,931.87,confirmed,user_7076@example.com,None
Presidential Suite,2025-12-19,2025-12-20,2,1488.05,confirmed,user_9319@example.com,None
Deluxe Suite,2025-02-20,2025-02-27,1,745.26,confirmed,user_3523@example.com,None
Executive King,2025-12-11,2025-12-22,1,781.08,confirmed,user_5468@example.com,None
Presidential Suite,2025-03-17,2025-03-18,4,1465.95,confirmed,user_3148@example.com,None
Executive King,2025-12-07,2025-12-14,2,903.38,confirmed,user_4336@example.com,None
Deluxe Suite,2025-01-21,2025-01-26,2,860.72,confirmed,user_6054@example.com,None
Deluxe Suite,2025-06-07,2025-06-13,1,584.71,confirmed,user_1795@example.com,None
Deluxe Suite,2025-12-15,2025-12-27,2,745.6,confirmed,user_2226@example.com,None
Presidential Suite,2025-01-09,2025-01-20,3,1009.01,canceled,user_1360@example.com,Early check-in
Executive King,2025-10-05,2025-10-07,1,957.0,confirmed,user_8025@example.com,None
Deluxe Suite,2025-04-05,2025-04-14,2,485.71,canceled,user_3365@example.com,None
Executive King,2025-03-07,2025-03-17,1,1070.64,confirmed,user_5442@example.com,None
Presidential Suite,2025-12-05,2025-12-08,1,1020.54,confirmed,user_8998@example.com,Late checkout
Deluxe Suite,2025-03-07,2025-03-12,2,509.75,canceled,user_4652@example.com,Early check-in
Executive King,2025-08-01,2025-08-06,1,810.35,confirmed,user_5982@example.com,None
Executive King,2025-07-18,2025-07-25,2,910.49,confirmed,user_5781@example.com,None
Presidential Suite,2025-04-19,2025-04-29,2,1399.31,confirmed,user_8257@example.com,None
Executive King,2025-03-09,2025-03-15,1,943.92,confirmed,user_7988@example.com,None
Deluxe Suite,2025-11-28,2025-12-07,2,545.24,confirmed,user_1381@example.com,None
Executive King,2025-10-12,2025-10-25,2,924.39,confirmed,user_9515@example.com,None
Deluxe Suite,2025-11-16,2025-11-21,1,355.22,confirmed,user_9200@example.com,Early check-in
Deluxe Suite,2025-03-04,2025-03-05,1,645.13,confirmed,user_4311@example.com,None
Presidential Suite,2025-09-22,2025-10-03,1,1130.0,confirmed,user_8808@example.com,None
Deluxe Suite,2025-04-18,2025-04-29,1,359.73,confirmed,user_82@example.com,Early check-in
Deluxe Suite,2025-11-19,2025-11-25,2,537.12,confirmed,user_7362@example.com,Late checkout
Deluxe Suite,2025-07-24,2025-08-02,2,591.72,confirmed,user_1552@example.com,None
Deluxe Suite,2025-10-08,2025-10-13,1,910.85,confirmed,user_5197@example.com,Early check-in
Deluxe Suite,2025-10-30,2025-11-09,2,647.87,canceled,user_2694@example.com,None
Deluxe Suite,2025-07-14,2025-07-20,2,778.06,confirmed,user_2100@example.com,None
Executive King,2025-06-22,2025-06-26,2,503.3,confirmed,user_7316@example.com,None
Executive King,2025-08-11,2025-08-12,1,798.87,confirmed,user_425@example.com,None
Executive King,2025-03-22,2025-03-25,2,977.43,confirmed,user_7155@example.com,None
Presidential Suite,2025-04-06,2025-04-15,4,968.33,confirmed,user_3616@example.com,None
Executive King,2025-06-09,2025-06-15,2,677.31,canceled,user_8743@example.com,Early check-in
Presidential Suite,2025-10-12,2025-10-15,4,1221.08,confirmed,user_4827@example.com,Early check-in
Deluxe Suite,2025-04-08,2025-04-20,2,695.29,confirmed,user_8527@example.com,None
Deluxe Suite,2025-11-11,2025-11-23,1,1066.36,confirmed,user_4166@example.com,None
Executive King,2025-03-16,2025-03-25,2,499.59,canceled,user_4187@example.com,None
Executive King,2025-07-15,2025-07-27,2,808.89,confirmed,user_5799@example.com,Early check-in
Presidential Suite,2025-10-02,2025-10-10,3,1382.82,canceled,user_6771@example.com,None
Presidential Suite,2025-12-07,2025-12-18,1,1038.9,confirmed,user_5800@example.com,None
Deluxe Suite,2025-09-13,2025-09-15,1,318.08,confirmed,user_5025@example.com,None
Deluxe Suite,2025-08-12,2025-08-23,2,330.45,confirmed,user_7760@example.com,None
Presidential Suite,2025-11-11,2025-11-24,3,1110.55,confirmed,user_2092@example.com,Early check-in
Executive King,2025-10-28,2025-11-02,2,938.82,confirmed,user_2316@example.com,None
Executive King,2025-03-10,2025-03-20,2,858.2,canceled,user_611@example.com,Early check-in
Deluxe Suite,2025-11-01,2025-11-02,1,481.24,confirmed,user_1628@example.com,None
Deluxe Suite,2025-10-30,2025-10-31,1,816.29,canceled,user_8181@example.com,None
Deluxe Suite,2025-08-13,2025-08-14,1,475.88,confirmed,user_8794@example.com,Late checkout
Deluxe Suite,2025-01-19,2025-01-30,2,612.74,confirmed,user_7072@example.com,Late checkout
Deluxe Suite,2025-11-28,2025-12-01,1,392.7,confirmed,user_6586@example.com,None
Executive King,2025-08-10,2025-08-17,2,1070.16,confirmed,user_5300@example.com,None
Executive King,2025-02-08,2025-02-16,2,862.41,confirmed,user_4757@example.com,None
Deluxe Suite,2025-11-14,2025-11-18,1,667.89,confirmed,user_2703@example.com,None
Presidential Suite,2025-07-31,2025-08-05,4,1228.4,confirmed,user_38@example.com,Early check-in
Deluxe Suite,2025-08-19,2025-08-21,2,649.28,confirmed,user_3709@example.com,Early check-in
Executive King,2025-02-10,2025-02-15,2,942.63,confirmed,user_6238@example.com,Early check-in
Executive King,2025-06-11,2025-06-22,1,729.62,confirmed,user_3953@example.com,None
Presidential Suite,2025-05-19,2025-05-31,4,1222.2,confirmed,user_5851@example.com,Late checkout
Presidential Suite,2025-07-18,2025-07-31,4,1106.74,confirmed,user_6699@example.com,Early check-in
Deluxe Suite,2025-07-13,2025-07-18,1,560.28,confirmed,user_7939@example.com,None
Deluxe Suite,2025-11-07,2025-11-08,2,608.15,confirmed,user_1098@example.com,None
Presidential Suite,2025-10-12,2025-10-14,1,1314.44,confirmed,user_6452@example.com,Early check-in
Presidential Suite,2025-12-08,2025-12-18,3,1438.43,confirmed,user_349@example.com,None
Deluxe Suite,2025-01-03,2025-01-15,1,807.82,confirmed,user_8479@example.com,None
Executive King,2025-05-03,2025-05-13,2,931.43,confirmed,user_3481@example.com,None
Executive King,2025-03-31,2025-04-04,1,948.54,confirmed,user_5534@example.com,Early check-in
Executive King,2025-04-17,2025-04-25,1,794.32,confirmed,user_1026@example.com,None
Presidential Suite,2025-03-18,2025-03-24,1,1392.22,canceled,user_8974@example.com,None
Presidential Suite,2025-08-25,2025-08-29,4,1221.81,confirmed,user_5469@example.com,None
Executive King,2025-01-11,2025-01-20,2,620.42,confirmed,user_6512@example.com,None
Deluxe Suite,2025-01-19,2025-01-22,2,549.98,canceled,user_4733@example.com,None
Executive King,2025-03-27,2025-04-09,1,899.37,confirmed,user_2694@example.com,Early check-in
Deluxe Suite,2025-04-29,2025-05-02,1,495.83,confirmed,user_3392@example.com,Early check-in
Presidential Suite,2025-08-25,2025-08-28,3,1265.23,canceled,user_9542@example.com,None
Deluxe Suite,2025-01-07,2025-01-19,2,486.22,confirmed,user_9837@example.com,None
Deluxe Suite,2025-06-12,2025-06-22,1,797.41,confirmed,user_3995@example.com,Early check-in
Deluxe Suite,2025-04-07,2025-04-13,1,576.01,confirmed,user_6719@example.com,Late checkout
Deluxe Suite,2025-03-19,2025-03-24,1,522.14,confirmed,user_9926@example.com,Early check-in
Executive King,2025-11-29,2025-12-06,2,802.88,confirmed,user_7014@example.com,Late checkout
Presidential Suite,2025-02-21,2025-02-23,2,972.41,confirmed,user_7611@example.com,Late checkout
Executive King,2025-05-17,2025-05-23,2,819.11,confirmed,user_8784@example.com,Late checkout
Deluxe Suite,2025-11-15,2025-11-18,1,611.42,confirmed,user_2500@example.com,None
Presidential Suite,2025-10-07,2025-10-17,1,1219.2,confirmed,user_7459@example.com,Early check-in
Executive King,2025-06-24,2025-06-26,2,877.18,confirmed,user_2088@example.com,None
Deluxe Suite,2025-08-13,2025-08-26,2,687.76,confirmed,user_9552@example.com,Early check-in
Presidential Suite,2025-02-23,2025-03-02,1,1066.63,confirmed,user_6052@example.com,Late checkout
Presidential Suite,2025-03-18,2025-03-31,2,1363.81,confirmed,user_5678@example.com,Early check-in
Deluxe Suite,2025-04-15,2025-04-24,1,578.14,confirmed,user_9434@example.com,Early check-in
Presidential Suite,2025-11-28,2025-12-06,4,1496.81,canceled,user_8759@example.com,Early check-in
Deluxe Suite,2025-03-25,2025-04-04,2,391.47,confirmed,user_124@example.com,Early check-in
Executive King,2025-05-18,2025-05-21,2,847.92,confirmed,user_394@example.com,None
Executive King,2025-01-21,2025-01-26,1,938.65,confirmed,user_7747@example.com,Early check-in
Executive King,2025-12-15,2025-12-19,1,734.79,confirmed,user_6595@example.com,None
Deluxe Suite,2025-03-14,2025-03-23,2,342.61,confirmed,user_1897@example.com,None
Deluxe Suite,2025-08-09,2025-08-12,2,734.38,canceled,user_3756@example.com,None
Presidential Suite,2025-09-13,2025-09-21,2,1213.72,confirmed,user_2221@example.com,Early check-in
Deluxe Suite,2025-07-28,2025-08-06,1,689.95,canceled,user_6740@example.com,None
Presidential Suite,2025-07-22,2025-07-30,4,1390.75,confirmed,user_809@example.com,None
Deluxe Suite,2025-12-16,2025-12-27,2,352.25,confirmed,user_2655@example.com,Late checkout
Deluxe Suite,2025-06-01,2025-06-09,2,521.82,confirmed,user_8791@example.com,None
Presidential Suite,2025-07-02,2025-07-08,4,1117.74,confirmed,user_9699@example.com,None
Deluxe Suite,2025-01-16,2025-01-18,1,639.93,confirmed,user_170@example.com,None
Presidential Suite,2025-10-01,2025-10-14,3,1105.81,confirmed,user_5301@example.com,Late checkout
Executive King,2025-03-31,2025-04-10,2,879.34,confirmed,user_2024@example.com,None
Deluxe Suite,2025-04-05,2025-04-09,1,456.45,confirmed,user_4438@example.com,None
Presidential Suite,2025-03-20,2025-03-22,1,1228.92,confirmed,user_6818@example.com,Late checkout
Presidential Suite,2025-06-22,2025-07-02,4,1053.28,confirmed,user_6893@example.com,None
Presidential Suite,2025-02-27,2025-03-02,2,1266.64,confirmed,user_8839@example.com,None
Presidential Suite,2025-12-30,2026-01-09,3,1271.96,confirmed,user_12@example.com,None
Executive King,2025-06-27,2025-07-04,1,1036.39,confirmed,user_7976@example.com,None
Presidential Suite,2025-07-27,2025-08-09,4,1349.5,confirmed,user_8142@example.com,Early check-in
Executive King,2025-02-20,2025-02-24,1,687.81,confirmed,user_8429@example.com,None
Executive King,2025-02-07,2025-02-19,1,891.54,confirmed,user_7766@example.com,None
Executive King,2025-04-03,2025-04-16,2,1046.11,confirmed,user_4373@example.com,None
Deluxe Suite,2025-03-31,2025-04-07,1,657.95,confirmed,user_8650@example.com,Early check-in
Deluxe Suite,2025-12-01,2025-12-07,2,748.84,confirmed,user_6444@example.com,None
Deluxe Suite,2025-09-16,2025-09-20,2,635.09,confirmed,user_1944@example.com,None
Executive King,2025-04-02,2025-04-10,2,708.1,canceled,user_246@example.com,None
Deluxe Suite,2025-06-18,2025-06-22,2,591.56,confirmed,user_5361@example.com,None
Deluxe Suite,2025-06-14,2025-06-27,2,439.99,confirmed,user_7940@example.com,None
Presidential Suite,2025-08-29,2025-09-06,2,1150.49,confirmed,user_415@example.com,None
Deluxe Suite,2025-12-13,2025-12-20,1,833.24,confirmed,user_2559@example.com,None
Presidential Suite,2025-07-13,2025-07-18,2,1051.51,confirmed,user_3951@example.com,Early check-in
Deluxe Suite,2025-02-11,2025-02-23,2,568.43,canceled,user_1714@example.com,None
Deluxe Suite,2025-11-20,2025-11-29,1,588.91,confirmed,user_7262@example.com,None
Presidential Suite,2025-06-14,2025-06-18,4,1299.08,confirmed,user_3883@example.com,None
Executive King,2025-08-31,2025-09-05,1,854.15,confirmed,user_4976@example.com,None
